2016-05-07 00:30:33 install libc-bin:amd64 <none> 2.23-0ubuntu3
2016-05-07 00:30:33 status half-installed libc-bin:amd64 2.23-0ubuntu3
2016-05-07 00:30:34 status unpacked libc-bin:amd64 2.23-0ubuntu3
2016-05-07 00:30:34 status unpacked libc-bin:amd64 2.23-0ubuntu3
2016-05-07 00:30:34 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2016-05-07 00:30:34 status half-configured libc6:amd64 2.23-0ubuntu3
2016-05-07 00:30:34 status unpacked libc6:amd64 2.23-0ubuntu3
2016-05-07 00:30:34 status half-installed libc6:amd64 2.23-0ubuntu3
2016-05-07 00:30:35 status half-installed libc6:amd64 2.23-0ubuntu3
2016-05-07 00:30:35 status unpacked libc6:amd64 2.23-0ubuntu3
2016-05-07 00:30:35 status unpacked libc6:amd64 2.23-0ubuntu3
2016-05-07 00:30:35 install libcap2:amd64 <none> 1:2.24-12
2016-05-07 00:30:35 status half-installed libcap2:amd64 1:2.24-12
2016-05-07 00:30:35 status unpacked libcap2:amd64 1:2.24-12
2016-05-07 00:30:35 status unpacked libcap2:amd64 1:2.24-12
2016-05-07 00:30:35 install libcap2-bin:amd64 <none> 1:2.24-12
2016-05-07 00:30:35 status half-installed libcap2-bin:amd64 1:2.24-12
2016-05-07 00:30:35 status unpacked libcap2-bin:amd64 1:2.24-12
2016-05-07 00:30:35 status unpacked libcap2-bin:amd64 1:2.24-12
2016-05-07 00:30:35 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
2016-05-07 00:30:35 status half-installed libcomerr2:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:35 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:35 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:35 install libcryptsetup4:amd64 <none> 2:1.6.6-5ubuntu2
2016-05-07 00:30:35 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2016-05-07 00:30:35 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2016-05-07 00:30:35 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2016-05-07 00:30:35 install libdb5.3:amd64 <none> 5.3.28-11
2016-05-07 00:30:35 status half-installed libdb5.3:amd64 5.3.28-11
2016-05-07 00:30:36 status unpacked libdb5.3:amd64 5.3.28-11
2016-05-07 00:30:36 status unpacked libdb5.3:amd64 5.3.28-11
2016-05-07 00:30:36 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2016-05-07 00:30:36 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2016-05-07 00:30:36 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2016-05-07 00:30:36 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2016-05-07 00:30:36 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2016-05-07 00:30:36 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2016-05-07 00:30:36 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2016-05-07 00:30:36 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2016-05-07 00:30:36 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2016-05-07 00:30:36 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:36 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:36 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:36 install libgcc1:amd64 <none> 1:6.0.1-0ubuntu1
2016-05-07 00:30:36 status half-installed libgcc1:amd64 1:6.0.1-0ubuntu1
2016-05-07 00:30:36 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2016-05-07 00:30:36 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2016-05-07 00:30:36 install libgcrypt20:amd64 <none> 1.6.5-2
2016-05-07 00:30:36 status half-installed libgcrypt20:amd64 1.6.5-2
2016-05-07 00:30:36 status unpacked libgcrypt20:amd64 1.6.5-2
2016-05-07 00:30:36 status unpacked libgcrypt20:amd64 1.6.5-2
2016-05-07 00:30:36 install libgpg-error0:amd64 <none> 1.21-2ubuntu1
2016-05-07 00:30:36 status half-installed libgpg-error0:amd64 1.21-2ubuntu1
2016-05-07 00:30:36 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2016-05-07 00:30:36 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2016-05-07 00:30:37 install libkmod2:amd64 <none> 22-1ubuntu4
2016-05-07 00:30:37 status half-installed libkmod2:amd64 22-1ubuntu4
2016-05-07 00:30:37 status unpacked libkmod2:amd64 22-1ubuntu4
2016-05-07 00:30:37 status unpacked libkmod2:amd64 22-1ubuntu4
2016-05-07 00:30:37 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2016-05-07 00:30:37 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2016-05-07 00:30:37 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2016-05-07 00:30:37 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2016-05-07 00:30:37 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2016-05-07 00:30:37 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:37 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:37 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2016-05-07 00:30:37 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2016-05-07 00:30:37 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2016-05-07 00:30:37 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2016-05-07 00:30:38 install libpcre3:amd64 <none> 2:8.38-3.1
2016-05-07 00:30:38 status half-installed libpcre3:amd64 2:8.38-3.1
2016-05-07 00:30:38 status unpacked libpcre3:amd64 2:8.38-3.1
2016-05-07 00:30:38 status unpacked libpcre3:amd64 2:8.38-3.1
